original_column,URL,Capacity,Years
"68,809 (2003)",https://en.wikipedia.org/wiki/Nissan_Stadium,"68,809",2003
"68,932 (2004)",https://en.wikipedia.org/wiki/Nissan_Stadium,"68,932",2004
"69,149 (2005)",https://en.wikipedia.org/wiki/Nissan_Stadium,"69,149",2005
"69,143 (2006–present)",https://en.wikipedia.org/wiki/Nissan_Stadium,"69,143",2006–present
"78,097 (1972–1994)",https://en.wikipedia.org/wiki/Arrowhead_Stadium,"78,097",1972–1994
"79,101 (1995–1996)",https://en.wikipedia.org/wiki/Arrowhead_Stadium,"79,101",1995–1996
"79,451 (1997–2009)",https://en.wikipedia.org/wiki/Arrowhead_Stadium,"79,451",1997–2009
"76,416 (2010–present)",https://en.wikipedia.org/wiki/Arrowhead_Stadium,"76,416",2010–present
"58,325 (2016–present)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"58,325",2016–present
"59,308 (2013–2015)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"59,308",2013–2015
"61,008 (2007–2012)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"61,008",2007–2012
"62,338 (2003–2006)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"62,338",2003–2006
"62,921 (1999–2002)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"62,921",1999–2002
"62,380 (1987–1998)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"62,380",1987–1998
"50,160 (1965–1986)",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,"50,160",1965–1986
"46,481 (original)",https://en.wikipedia.org/wiki/Houlihan%27s_Stadium,"46,481",
"74,301 (final)",https://en.wikipedia.org/wiki/Houlihan%27s_Stadium,"74,301",
"68,740 (NFL) ",https://en.wikipedia.org/wiki/CenturyLink_Field,"68,740",
" Expandable to 72,000 (for special events) ",https://en.wikipedia.org/wiki/CenturyLink_Field,"72,000",
" 37,722 (MLS / XFL) ",https://en.wikipedia.org/wiki/CenturyLink_Field,"37,722",
" Expandable to 68,740 (for special events)",https://en.wikipedia.org/wiki/CenturyLink_Field,"68,740",
"66,655 (Football; 2016–2017)",https://en.wikipedia.org/wiki/U.S._Bank_Stadium,"66,655",2016–2017
"66,860 (Football; 2018–present) (expandable to 73,000)",https://en.wikipedia.org/wiki/U.S._Bank_Stadium,"66,860",2018–present
