Week,Day,Date,Time,Season,Game_type,Home_team,Away_team,Home_Pts,Away_Pts,Home_Yds,Away_Yds,Home_TO,Away_TO,Home_Stadium,Home_Capacity,Home_lat,Home_lon,Home_Surface,Away_Stadium,Away_lat,Away_lon,Away_Surface,Away_Capacity,Location,Stadium,Capacity,lat,lon,Surface,attendance
3,Sun,September 26,1:01PM,1999,Regular,Pittsburgh Steelers,Seattle Seahawks,10,29,272,341,5,2,Three Rivers Stadium,59600,40.44667000000001,-80.01278,Turf,Kingdome,47.595279999999995,-122.33138999999998,Turf,66400,Pittsburgh url:https://en.wikipedia.org/wiki/Pittsburgh,Three Rivers Stadium,59600.0,40.44667000000001,-80.01278,Turf,57881
3,Sun,September 26,1:01PM,1999,Regular,Buffalo Bills,Philadelphia Eagles,26,0,377,169,1,2,Bills Stadium,75339,42.773999999999994,-78.78699999999998,Turf,Veterans Stadium,39.90667,-75.17111,Turf,65352,"Orchard Park, New York url:https://en.wikipedia.org/wiki/Orchard_Park_(town),_New_York",Bills Stadium,75339.0,42.773999999999994,-78.78699999999998,Turf,70872
3,Sun,September 26,1:01PM,1999,Regular,Tampa Bay Buccaneers,Denver Broncos,13,10,243,173,2,1,Raymond James Stadium,65657,27.97583,-82.50333,Grass,Mile High Stadium,39.746109999999994,-105.02167,Grass,"76,273","Tampa, Florida url:https://en.wikipedia.org/wiki/Tampa,_Florida",Raymond James Stadium,66321.0,27.97583,-82.50333,Grass,65297
3,Sun,September 26,1:01PM,1999,Regular,Baltimore Ravens,Cleveland Browns,17,10,334,189,3,3,M&T Bank Stadium,"69,084",39.278059999999996,-76.62278,Grass,FirstEnergy Stadium,41.50611,-81.69944,Grass,67895,Baltimore url:https://en.wikipedia.org/wiki/Baltimore,M&T Bank Stadium,69084.0,39.278059999999996,-76.62278,Grass,68803
3,Sun,September 26,1:02PM,1999,Regular,New York Jets,Washington Redskins,20,27,337,333,2,0,Giants Stadium,79469,40.81222,-74.07694000000002,Turf,FedExField,38.907779999999995,-76.86444,Grass,"80,116","East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",Giants Stadium,79469.0,40.81222,-74.07694000000002,Turf,78161
3,Sun,September 26,4:05PM,1999,Regular,San Diego Chargers,Indianapolis Colts,19,27,274,468,1,1,SDCCU Stadium,70561,32.78306,-117.11944,Grass,RCA Dome,39.76361,-86.16333,Turf,"56,127",San Diego url:https://en.wikipedia.org/wiki/San_Diego,SDCCU Stadium,70561.0,32.78306,-117.11944,Grass,56942
3,Sun,September 26,4:05PM,1999,Regular,Jacksonville Jaguars,Tennessee Titans,19,20,369,242,4,2,TIAA Bank Field,73000,30.323890000000002,-81.6375,Grass,Nissan Stadium,36.16639,-86.77139,Grass,"67,700","Jacksonville, Florida url:https://en.wikipedia.org/wiki/Jacksonville,_Florida",TIAA Bank Field,73000.0,30.323890000000002,-81.6375,Grass,61502
3,Sun,September 26,4:15PM,1999,Regular,Green Bay Packers,Minnesota Vikings,23,20,360,328,0,2,Lambeau Field,60890,44.50139,-88.06222,Grass,Mall of America Field at the Hubert H. Humphrey Metrodome,44.973890000000004,-93.25806,Turf,64153,"Green Bay, Wisconsin url:https://en.wikipedia.org/wiki/Green_Bay,_Wisconsin",Lambeau Field,60890.0,44.50139,-88.06222,Grass,59868
3,Sun,September 26,4:16PM,1999,Regular,Oakland Raiders,Chicago Bears,24,17,392,232,5,3,RingCentral Coliseum,63132,37.751670000000004,-122.20056000000001,Grass,Soldier Field,41.8623,-87.6167,Grass,61500,"Oakland, California url:https://en.wikipedia.org/wiki/Oakland,_California",RingCentral Coliseum,63132.0,37.751670000000004,-122.20056000000001,Grass,50458
3,Sun,September 26,8:23PM,1999,Regular,New England Patriots,New York Giants,16,14,290,258,0,0,Foxboro Stadium,60292,42.0927,-71.2674417,Grass,Giants Stadium,40.81222,-74.07694000000002,Turf,79469,"Foxborough, Massachusetts url:https://en.wikipedia.org/wiki/Foxborough,_Massachusetts",Foxboro Stadium,60292.0,42.0927,-71.2674417,Grass,59169
