Home_team,Season,attendance,Week
New England Patriots,2004,72698,4
Tennessee Titans,2004,54006,4
Tampa Bay Buccaneers,2004,65341,4
San Diego Chargers,2004,54006,4
Washington Redskins,2004,73348,4
St. Louis Rams,2004,66696,4
Pittsburgh Steelers,2004,62402,4
Philadelphia Eagles,2004,61894,4
Oakland Raiders,2004,70741,4
Minnesota Vikings,2004,Bye,4
Miami Dolphins,2004,73157,4
Kansas City Chiefs,2004,69827,4
Jacksonville Jaguars,2004,73114,4
Indianapolis Colts,2004,73114,4
Houston Texans,2004,70741,4
Green Bay Packers,2004,70623,4
Detroit Lions,2004,Bye,4
Denver Broncos,2004,65341,4
Dallas Cowboys,2004,Bye,4
Cleveland Browns,2004,73348,4
Cincinnati Bengals,2004,62402,4
Chicago Bears,2004,61894,4
Carolina Panthers,2004,73461,4
Buffalo Bills,2004,72698,4
Baltimore Ravens,2004,69827,4
Atlanta Falcons,2004,73461,4
Arizona Cardinals,2004,28109,4
New York Jets,2004,73157,4
New Orleans Saints,2004,28109,4
New York Giants,2004,70623,4
San Francisco 49ers,2004,62836,5
Seattle Seahawks,2004,66940,5
New England Patriots,2004,68756,5
Tennessee Titans,2004,70420,5
Tampa Bay Buccaneers,2004,64900,5
San Diego Chargers,2004,52101,5
Washington Redskins,2004,90287,5
St. Louis Rams,2004,66940,5
Pittsburgh Steelers,2004,63609,5
Philadelphia Eagles,2004,Bye,5
Oakland Raiders,2004,57230,5
Minnesota Vikings,2004,70718,5
Miami Dolphins,2004,68756,5
Kansas City Chiefs,2004,Bye,5
Jacksonville Jaguars,2004,52101,5
Indianapolis Colts,2004,57230,5
Houston Texans,2004,70718,5
Green Bay Packers,2004,70420,5
Detroit Lions,2004,70434,5
Denver Broncos,2004,75072,5
Dallas Cowboys,2004,64018,5
Cleveland Browns,2004,63609,5
Cincinnati Bengals,2004,Bye,5
Chicago Bears,2004,Bye,5
Carolina Panthers,2004,75072,5
Buffalo Bills,2004,77976,5
Baltimore Ravens,2004,90287,5
Atlanta Falcons,2004,70434,5
Arizona Cardinals,2004,62836,5
New York Jets,2004,77976,5
New Orleans Saints,2004,64900,5
New York Giants,2004,64018,5
San Francisco 49ers,2004,78189,6
Seattle Seahawks,2004,68756,6
New England Patriots,2004,68756,6
Tennessee Titans,2004,68932,6
Tampa Bay Buccaneers,2004,66040,6
San Diego Chargers,2004,70187,6
Washington Redskins,2004,61945,6
St. Louis Rams,2004,66040,6
Pittsburgh Steelers,2004,64162,6
Philadelphia Eagles,2004,67707,6
Oakland Raiders,2004,62507,6
Minnesota Vikings,2004,64900,6
Miami Dolphins,2004,72714,6
Kansas City Chiefs,2004,66413,6
Jacksonville Jaguars,2004,66413,6
Indianapolis Colts,2004,Bye,6
Houston Texans,2004,68932,6
Green Bay Packers,2004,62938,6
Detroit Lions,2004,62938,6
Denver Broncos,2004,62507,6
Dallas Cowboys,2004,64162,6
Cleveland Browns,2004,73263,6
Cincinnati Bengals,2004,73263,6
Chicago Bears,2004,61945,6
Carolina Panthers,2004,67707,6
Buffalo Bills,2004,72714,6
Baltimore Ravens,2004,Bye,6
Atlanta Falcons,2004,70187,6
Arizona Cardinals,2004,Bye,6
New York Jets,2004,78189,6
New Orleans Saints,2004,64900,6
New York Giants,2004,Bye,6
San Francisco 49ers,2004,Bye,7
Seattle Seahawks,2004,35695,7
New England Patriots,2004,68756,7
Tennessee Titans,2004,64108,7
Tampa Bay Buccaneers,2004,65550,7
San Diego Chargers,2004,73096,7
Washington Redskins,2004,Bye,7
St. Louis Rams,2004,72945,7
Pittsburgh Steelers,2004,Bye,7
Philadelphia Eagles,2004,73394,7
Oakland Raiders,2004,45337,7
Minnesota Vikings,2004,64108,7
Miami Dolphins,2004,72945,7
Kansas City Chiefs,2004,78260,7
Jacksonville Jaguars,2004,56615,7
Indianapolis Colts,2004,56615,7
Houston Texans,2004,Bye,7
Green Bay Packers,2004,70679,7
Detroit Lions,2004,78841,7
Denver Broncos,2004,65806,7
Dallas Cowboys,2004,70679,7
Cleveland Browns,2004,73394,7
Cincinnati Bengals,2004,65806,7
Chicago Bears,2004,65550,7
Carolina Panthers,2004,73096,7
Buffalo Bills,2004,69809,7
Baltimore Ravens,2004,69809,7
Atlanta Falcons,2004,78260,7
Arizona Cardinals,2004,35695,7
New York Jets,2004,68756,7
New Orleans Saints,2004,45337,7
New York Giants,2004,78841,7
San Francisco 49ers,2004,62054,8
Seattle Seahawks,2004,66214,8
New England Patriots,2004,64737,8
Tennessee Titans,2004,68932,8
Tampa Bay Buccaneers,2004,Bye,8
San Diego Chargers,2004,66210,8
Washington Redskins,2004,89295,8
St. Louis Rams,2004,Bye,8
Pittsburgh Steelers,2004,64737,8
Philadelphia Eagles,2004,67715,8
Oakland Raiders,2004,66210,8
Minnesota Vikings,2004,64012,8
Miami Dolphins,2004,78216,8
Kansas City Chiefs,2004,78312,8
Jacksonville Jaguars,2004,70502,8
Indianapolis Colts,2004,78312,8
Houston Texans,2004,70502,8
Green Bay Packers,2004,89295,8
Detroit Lions,2004,63616,8
Denver Broncos,2004,75083,8
Dallas Cowboys,2004,63616,8
Cleveland Browns,2004,Bye,8
Cincinnati Bengals,2004,68932,8
Chicago Bears,2004,62054,8
Carolina Panthers,2004,66214,8
Buffalo Bills,2004,65887,8
Baltimore Ravens,2004,67715,8
Atlanta Falcons,2004,75083,8
Arizona Cardinals,2004,65887,8
New York Jets,2004,78216,8
New Orleans Saints,2004,Bye,8
New York Giants,2004,64012,8
San Francisco 49ers,2004,64423,9
Seattle Seahawks,2004,64423,9
New England Patriots,2004,66107,9
Tennessee Titans,2004,Bye,9
Tampa Bay Buccaneers,2004,65495,9
San Diego Chargers,2004,59662,9
Washington Redskins,2004,62657,9
St. Louis Rams,2004,66107,9
Pittsburgh Steelers,2004,64975,9
Philadelphia Eagles,2004,64975,9
Oakland Raiders,2004,73518,9
Minnesota Vikings,2004,57307,9
Miami Dolphins,2004,72612,9
Kansas City Chiefs,2004,65495,9
Jacksonville Jaguars,2004,Bye,9
Indianapolis Colts,2004,57307,9
Houston Texans,2004,74292,9
Green Bay Packers,2004,Bye,9
Detroit Lions,2004,62657,9
Denver Broncos,2004,74292,9
Dallas Cowboys,2004,65721,9
Cleveland Browns,2004,69781,9
Cincinnati Bengals,2004,65721,9
Chicago Bears,2004,78786,9
Carolina Panthers,2004,73518,9
Buffalo Bills,2004,72574,9
Baltimore Ravens,2004,69781,9
Atlanta Falcons,2004,Bye,9
Arizona Cardinals,2004,72612,9
New York Jets,2004,72574,9
New Orleans Saints,2004,59662,9
New York Giants,2004,78786,9
New Orleans Saints,2005,72920,1
Tampa Bay Buccaneers,2005,63939,1
New England Patriots,2005,68756,1
New York Giants,2005,78387,1
San Diego Chargers,2005,67679,1
Pittsburgh Steelers,2005,62931,1
Philadelphia Eagles,2005,70806,1
Oakland Raiders,2005,68756,1
New York Jets,2005,78014,1
San Francisco 49ers,2005,67918,1
Seattle Seahawks,2005,65204,1
St. Louis Rams,2005,67918,1
Tennessee Titans,2005,62931,1
Washington Redskins,2005,90138,1
Minnesota Vikings,2005,63939,1
Kansas City Chiefs,2005,78014,1
Miami Dolphins,2005,72324,1
Indianapolis Colts,2005,70501,1
Arizona Cardinals,2005,78387,1
Atlanta Falcons,2005,70806,1
Baltimore Ravens,2005,70501,1
Buffalo Bills,2005,71781,1
Carolina Panthers,2005,72920,1
Chicago Bears,2005,90138,1
Jacksonville Jaguars,2005,65204,1
Cincinnati Bengals,2005,73013,1
Dallas Cowboys,2005,67679,1
Denver Broncos,2005,72324,1
Detroit Lions,2005,61877,1
Green Bay Packers,2005,61877,1
Houston Texans,2005,71781,1
Cleveland Browns,2005,73013,1
New Orleans Saints,2005,Bye,10
Tampa Bay Buccaneers,2005,65421,10
New England Patriots,2005,73405,10
New York Giants,2005,78637,10
San Diego Chargers,2005,Bye,10
Pittsburgh Steelers,2005,63491,10
Philadelphia Eagles,2005,67739,10
Oakland Raiders,2005,62779,10
New York Jets,2005,73529,10
San Francisco 49ers,2005,62153,10
Seattle Seahawks,2005,67192,10
St. Louis Rams,2005,67192,10
Tennessee Titans,2005,Bye,10
Washington Redskins,2005,65421,10
Minnesota Vikings,2005,78637,10
Kansas City Chiefs,2005,72093,10
Miami Dolphins,2005,73405,10
Indianapolis Colts,2005,57209,10
Arizona Cardinals,2005,61091,10
Atlanta Falcons,2005,71001,10
Baltimore Ravens,2005,66107,10
Buffalo Bills,2005,72093,10
Carolina Panthers,2005,73529,10
Chicago Bears,2005,62153,10
Jacksonville Jaguars,2005,66107,10
Cincinnati Bengals,2005,Bye,10
Dallas Cowboys,2005,67739,10
Denver Broncos,2005,62779,10
Detroit Lions,2005,61091,10
Green Bay Packers,2005,71001,10
Houston Texans,2005,57209,10
Cleveland Browns,2005,63491,10
New Orleans Saints,2005,68756,11
Tampa Bay Buccaneers,2005,70794,11
New England Patriots,2005,68756,11
New York Giants,2005,78626,11
San Diego Chargers,2005,65602,11
Pittsburgh Steelers,2005,70601,11
Philadelphia Eagles,2005,78626,11
Oakland Raiders,2005,90129,11
New York Jets,2005,76255,11
San Francisco 49ers,2005,63590,11
Seattle Seahawks,2005,63590,11
St. Louis Rams,2005,65750,11
Tennessee Titans,2005,69149,11
Washington Redskins,2005,90129,11
Minnesota Vikings,2005,70610,11
Kansas City Chiefs,2005,70481,11
Miami Dolphins,2005,72773,11
Indianapolis Colts,2005,65995,11
Arizona Cardinals,2005,65750,11
Atlanta Falcons,2005,70794,11
Baltimore Ravens,2005,70601,11
Buffalo Bills,2005,65602,11
Carolina Panthers,2005,62156,11
Chicago Bears,2005,62156,11
Jacksonville Jaguars,2005,69149,11
Cincinnati Bengals,2005,65995,11
Dallas Cowboys,2005,62670,11
Denver Broncos,2005,76255,11
Detroit Lions,2005,62670,11
Green Bay Packers,2005,70610,11
Houston Texans,2005,70481,11
Cleveland Browns,2005,72773,11
New Orleans Saints,2005,77152,12
Tampa Bay Buccaneers,2005,65506,12
New England Patriots,2005,78025,12
New York Giants,2005,67102,12
San Diego Chargers,2005,84930,12
Pittsburgh Steelers,2005,57442,12
Philadelphia Eagles,2005,67665,12
Oakland Raiders,2005,49097,12
New York Jets,2005,77152,12
San Francisco 49ers,2005,69149,12
Seattle Seahawks,2005,67102,12
St. Louis Rams,2005,70010,12
Tennessee Titans,2005,69149,12
Washington Redskins,2005,84930,12
Minnesota Vikings,2005,63814,12
Kansas City Chiefs,2005,78025,12
Miami Dolphins,2005,49097,12
Indianapolis Colts,2005,57442,12
Arizona Cardinals,2005,39198,12
Atlanta Falcons,2005,62390,12
Baltimore Ravens,2005,65680,12
Buffalo Bills,2005,71440,12
Carolina Panthers,2005,71440,12
Chicago Bears,2005,65506,12
Jacksonville Jaguars,2005,39198,12
Cincinnati Bengals,2005,65680,12
Dallas Cowboys,2005,63273,12
Denver Broncos,2005,63273,12
Detroit Lions,2005,62390,12
Green Bay Packers,2005,67665,12
Houston Texans,2005,70010,12
Cleveland Browns,2005,63814,12
New Orleans Saints,2005,34411,13
Tampa Bay Buccaneers,2005,34411,13
New England Patriots,2005,68756,13
New York Giants,2005,78645,13
San Diego Chargers,2005,66436,13
Pittsburgh Steelers,2005,63044,13
Philadelphia Eagles,2005,67637,13
Oakland Raiders,2005,66436,13
New York Jets,2005,68756,13
San Francisco 49ers,2005,60439,13
Seattle Seahawks,2005,67637,13
St. Louis Rams,2005,65701,13
Tennessee Titans,2005,57228,13
Washington Redskins,2005,65701,13
Minnesota Vikings,2005,61375,13
Kansas City Chiefs,2005,78261,13
Miami Dolphins,2005,72051,13
Indianapolis Colts,2005,57228,13
Arizona Cardinals,2005,60439,13
Atlanta Falcons,2005,73661,13
Baltimore Ravens,2005,69909,13
Buffalo Bills,2005,72051,13
Carolina Panthers,2005,73661,13
Chicago Bears,2005,62177,13
Jacksonville Jaguars,2005,70941,13
Cincinnati Bengals,2005,63044,13
Dallas Cowboys,2005,78645,13
Denver Broncos,2005,78261,13
Detroit Lions,2005,61375,13
Green Bay Packers,2005,62177,13
Houston Texans,2005,69909,13
Cleveland Browns,2005,70941,13
New Orleans Saints,2005,70083,14
Tampa Bay Buccaneers,2005,73467,14
New England Patriots,2005,71810,14
New York Giants,2005,67443,14
San Diego Chargers,2005,65026,14
Pittsburgh Steelers,2005,61237,14
Philadelphia Eagles,2005,67443,14
Oakland Raiders,2005,77561,14
New York Jets,2005,77561,14
San Francisco 49ers,2005,66690,14
Seattle Seahawks,2005,66690,14
St. Louis Rams,2005,64005,14
Tennessee Titans,2005,69149,14
Washington Redskins,2005,46654,14
Minnesota Vikings,2005,64005,14
Kansas City Chiefs,2005,63432,14
Miami Dolphins,2005,65026,14
Indianapolis Colts,2005,67164,14
Arizona Cardinals,2005,46654,14
Atlanta Falcons,2005,70083,14
Baltimore Ravens,2005,75651,14
Buffalo Bills,2005,71810,14
Carolina Panthers,2005,73467,14
Chicago Bears,2005,61237,14
Jacksonville Jaguars,2005,67164,14
Cincinnati Bengals,2005,65788,14
Dallas Cowboys,2005,63432,14
Denver Broncos,2005,75651,14
Detroit Lions,2005,70019,14
Green Bay Packers,2005,70019,14
Houston Texans,2005,69149,14
Cleveland Browns,2005,65788,14
New Orleans Saints,2005,32551,15
Tampa Bay Buccaneers,2005,68756,15
New England Patriots,2005,68756,15
New York Giants,2005,78625,15
San Diego Chargers,2005,57389,15
Pittsburgh Steelers,2005,64136,15
Philadelphia Eagles,2005,65382,15
Oakland Raiders,2005,41862,15
New York Jets,2005,72650,15
San Francisco 49ers,2005,64764,15
Seattle Seahawks,2005,69149,15
St. Louis Rams,2005,65382,15
Tennessee Titans,2005,69149,15
Washington Redskins,2005,90588,15
Minnesota Vikings,2005,64136,15
Kansas City Chiefs,2005,78625,15
Miami Dolphins,2005,72650,15
Indianapolis Colts,2005,57389,15
Arizona Cardinals,2005,70024,15
Atlanta Falcons,2005,62170,15
Baltimore Ravens,2005,70604,15
Buffalo Bills,2005,71887,15
Carolina Panthers,2005,32551,15
Chicago Bears,2005,62170,15
Jacksonville Jaguars,2005,64764,15
Cincinnati Bengals,2005,61749,15
Dallas Cowboys,2005,90588,15
Denver Broncos,2005,71887,15
Detroit Lions,2005,61749,15
Green Bay Packers,2005,70604,15
Houston Texans,2005,70024,15
Cleveland Browns,2005,41862,15
New Orleans Saints,2005,63747,16
Tampa Bay Buccaneers,2005,65482,16
New England Patriots,2005,77569,16
New York Giants,2005,90477,16
San Diego Chargers,2005,75956,16
Pittsburgh Steelers,2005,73136,16
Philadelphia Eagles,2005,44723,16
Oakland Raiders,2005,76212,16
New York Jets,2005,77569,16
San Francisco 49ers,2005,65473,16
Seattle Seahawks,2005,67855,16
St. Louis Rams,2005,65473,16
Tennessee Titans,2005,72001,16
Washington Redskins,2005,90477,16
Minnesota Vikings,2005,70246,16
Kansas City Chiefs,2005,75956,16
Miami Dolphins,2005,72001,16
Indianapolis Colts,2005,67855,16
Arizona Cardinals,2005,44723,16
Atlanta Falcons,2005,65482,16
Baltimore Ravens,2005,70246,16
Buffalo Bills,2005,65485,16
Carolina Panthers,2005,73436,16
Chicago Bears,2005,69757,16
Jacksonville Jaguars,2005,70025,16
Cincinnati Bengals,2005,65485,16
Dallas Cowboys,2005,73436,16
Denver Broncos,2005,76212,16
Detroit Lions,2005,63747,16
Green Bay Packers,2005,69757,16
Houston Texans,2005,70025,16
Cleveland Browns,2005,73136,16
New Orleans Saints,2005,65379,17
Tampa Bay Buccaneers,2005,65379,17
New England Patriots,2005,68756,17
New York Giants,2005,44594,17
San Diego Chargers,2005,65513,17
Pittsburgh Steelers,2005,63794,17
Philadelphia Eagles,2005,67700,17
Oakland Raiders,2005,44594,17
New York Jets,2005,76822,17
San Francisco 49ers,2005,67970,17
Seattle Seahawks,2005,69928,17
St. Louis Rams,2005,63131,17
Tennessee Titans,2005,65485,17
Washington Redskins,2005,67700,17
Minnesota Vikings,2005,64023,17
Kansas City Chiefs,2005,77211,17
Miami Dolphins,2005,68756,17
Indianapolis Colts,2005,57211,17
Arizona Cardinals,2005,57211,17
Atlanta Falcons,2005,70796,17
Baltimore Ravens,2005,69871,17
Buffalo Bills,2005,76822,17
Carolina Panthers,2005,70796,17
Chicago Bears,2005,64023,17
Jacksonville Jaguars,2005,65485,17
Cincinnati Bengals,2005,77211,17
Dallas Cowboys,2005,63131,17
Denver Broncos,2005,65513,17
Detroit Lions,2005,63794,17
Green Bay Packers,2005,69928,17
Houston Texans,2005,67970,17
Cleveland Browns,2005,69871,17
New Orleans Saints,2005,68031,2
Tampa Bay Buccaneers,2005,64777,2
New England Patriots,2005,73528,2
New York Giants,2005,68031,2
San Diego Chargers,2005,75310,2
Pittsburgh Steelers,2005,70742,2
Philadelphia Eagles,2005,67727,2
Oakland Raiders,2005,62273,2
New York Jets,2005,77918,2
San Francisco 49ers,2005,67727,2
Seattle Seahawks,2005,66030,2
St. Louis Rams,2005,45160,2
Tennessee Titans,2005,69149,2
Washington Redskins,2005,65207,2
Minnesota Vikings,2005,65763,2
Kansas City Chiefs,2005,62273,2
Miami Dolphins,2005,77918,2
Indianapolis Colts,2005,56460,2
Arizona Cardinals,2005,45160,2
Atlanta Falcons,2005,66030,2
Baltimore Ravens,2005,69149,2
Buffalo Bills,2005,64777,2
Carolina Panthers,2005,73528,2
Chicago Bears,2005,62019,2
Jacksonville Jaguars,2005,56460,2
Cincinnati Bengals,2005,65763,2
Dallas Cowboys,2005,65207,2
Denver Broncos,2005,75310,2
Detroit Lions,2005,62019,2
Green Bay Packers,2005,70400,2
Houston Texans,2005,70742,2
Cleveland Browns,2005,70400,2
New Orleans Saints,2005,63952,3
Tampa Bay Buccaneers,2005,70518,3
New England Patriots,2005,64868,3
New York Giants,2005,65373,3
San Diego Chargers,2005,65373,3
Pittsburgh Steelers,2005,64868,3
Philadelphia Eagles,2005,67735,3
Oakland Raiders,2005,67735,3
New York Jets,2005,77422,3
San Francisco 49ers,2005,68247,3
Seattle Seahawks,2005,64843,3
St. Louis Rams,2005,65835,3
Tennessee Titans,2005,65835,3
Washington Redskins,2005,Bye,3
Minnesota Vikings,2005,63952,3
Kansas City Chiefs,2005,76381,3
Miami Dolphins,2005,72288,3
Indianapolis Colts,2005,57127,3
Arizona Cardinals,2005,64843,3
Atlanta Falcons,2005,72032,3
Baltimore Ravens,2005,Bye,3
Buffalo Bills,2005,72032,3
Carolina Panthers,2005,72288,3
Chicago Bears,2005,62045,3
Jacksonville Jaguars,2005,77422,3
Cincinnati Bengals,2005,62045,3
Dallas Cowboys,2005,68247,3
Denver Broncos,2005,76381,3
Detroit Lions,2005,Bye,3
Green Bay Packers,2005,70518,3
Houston Texans,2005,Bye,3
Cleveland Browns,2005,57127,3
New Orleans Saints,2005,58688,4
Tampa Bay Buccaneers,2005,64994,4
New England Patriots,2005,68756,4
New York Giants,2005,78453,4
San Diego Chargers,2005,68756,4
Pittsburgh Steelers,2005,Bye,4
Philadelphia Eagles,2005,78742,4
Oakland Raiders,2005,62400,4
New York Jets,2005,70479,4
San Francisco 49ers,2005,103467,4
Seattle Seahawks,2005,90215,4
St. Louis Rams,2005,78453,4
Tennessee Titans,2005,69149,4
Washington Redskins,2005,90215,4
Minnesota Vikings,2005,69552,4
Kansas City Chiefs,2005,78742,4
Miami Dolphins,2005,Bye,4
Indianapolis Colts,2005,69149,4
Arizona Cardinals,2005,103467,4
Atlanta Falcons,2005,69552,4
Baltimore Ravens,2005,70479,4
Buffalo Bills,2005,58688,4
Carolina Panthers,2005,73657,4
Chicago Bears,2005,Bye,4
Jacksonville Jaguars,2005,66045,4
Cincinnati Bengals,2005,65714,4
Dallas Cowboys,2005,62400,4
Denver Broncos,2005,66045,4
Detroit Lions,2005,64994,4
Green Bay Packers,2005,73657,4
Houston Texans,2005,65714,4
Cleveland Browns,2005,Bye,4
New Orleans Saints,2005,70580,5
Tampa Bay Buccaneers,2005,77852,5
New England Patriots,2005,71079,5
New York Giants,2005,Bye,5
San Diego Chargers,2005,68537,5
Pittsburgh Steelers,2005,68537,5
Philadelphia Eagles,2005,63199,5
Oakland Raiders,2005,Bye,5
New York Jets,2005,77852,5
San Francisco 49ers,2005,68084,5
Seattle Seahawks,2005,65707,5
St. Louis Rams,2005,65707,5
Tennessee Titans,2005,70430,5
Washington Redskins,2005,75880,5
Minnesota Vikings,2005,Bye,5
Kansas City Chiefs,2005,Bye,5
Miami Dolphins,2005,72160,5
Indianapolis Colts,2005,68084,5
Arizona Cardinals,2005,38809,5
Atlanta Falcons,2005,71079,5
Baltimore Ravens,2005,61201,5
Buffalo Bills,2005,72160,5
Carolina Panthers,2005,38809,5
Chicago Bears,2005,73079,5
Jacksonville Jaguars,2005,66137,5
Cincinnati Bengals,2005,66137,5
Dallas Cowboys,2005,63199,5
Denver Broncos,2005,75880,5
Detroit Lions,2005,61201,5
Green Bay Packers,2005,70580,5
Houston Texans,2005,70430,5
Cleveland Browns,2005,73079,5
New Orleans Saints,2005,65562,6
Tampa Bay Buccaneers,2005,65168,6
New England Patriots,2005,76571,6
New York Giants,2005,62278,6
San Diego Chargers,2005,52666,6
Pittsburgh Steelers,2005,63891,6
Philadelphia Eagles,2005,Bye,6
Oakland Raiders,2005,52666,6
New York Jets,2005,72045,6
San Francisco 49ers,2005,Bye,6
Seattle Seahawks,2005,66196,6
St. Louis Rams,2005,57307,6
Tennessee Titans,2005,69149,6
Washington Redskins,2005,78083,6
Minnesota Vikings,2005,62143,6
Kansas City Chiefs,2005,78083,6
Miami Dolphins,2005,65168,6
Indianapolis Colts,2005,57307,6
Arizona Cardinals,2005,Bye,6
Atlanta Falcons,2005,65562,6
Baltimore Ravens,2005,70196,6
Buffalo Bills,2005,72045,6
Carolina Panthers,2005,61083,6
Chicago Bears,2005,62143,6
Jacksonville Jaguars,2005,63891,6
Cincinnati Bengals,2005,69149,6
Dallas Cowboys,2005,62278,6
Denver Broncos,2005,76571,6
Detroit Lions,2005,61083,6
Green Bay Packers,2005,Bye,6
Houston Texans,2005,66196,6
Cleveland Browns,2005,70196,6
New Orleans Saints,2005,64586,7
Tampa Bay Buccaneers,2005,Bye,7
New England Patriots,2005,Bye,7
New York Giants,2005,78516,7
San Diego Chargers,2005,67747,7
Pittsburgh Steelers,2005,66104,7
Philadelphia Eagles,2005,67747,7
Oakland Raiders,2005,42779,7
New York Jets,2005,70995,7
San Francisco 49ers,2005,90224,7
Seattle Seahawks,2005,67046,7
St. Louis Rams,2005,64586,7
Tennessee Titans,2005,39482,7
Washington Redskins,2005,90224,7
Minnesota Vikings,2005,64278,7
Kansas City Chiefs,2005,68350,7
Miami Dolphins,2005,68350,7
Indianapolis Colts,2005,70621,7
Arizona Cardinals,2005,39482,7
Atlanta Falcons,2005,70995,7
Baltimore Ravens,2005,62102,7
Buffalo Bills,2005,42779,7
Carolina Panthers,2005,Bye,7
Chicago Bears,2005,62102,7
Jacksonville Jaguars,2005,Bye,7
Cincinnati Bengals,2005,66104,7
Dallas Cowboys,2005,67046,7
Denver Broncos,2005,78516,7
Detroit Lions,2005,72923,7
Green Bay Packers,2005,64278,7
Houston Texans,2005,70621,7
Cleveland Browns,2005,72923,7
New Orleans Saints,2005,61643,8
Tampa Bay Buccaneers,2005,63358,8
New England Patriots,2005,68756,8
New York Giants,2005,78630,8
San Diego Chargers,2005,65750,8
Pittsburgh Steelers,2005,64178,8
Philadelphia Eagles,2005,76530,8
Oakland Raiders,2005,69149,8
New York Jets,2005,Bye,8
San Francisco 49ers,2005,63358,8
Seattle Seahawks,2005,Bye,8
St. Louis Rams,2005,65251,8
Tennessee Titans,2005,69149,8
Washington Redskins,2005,78630,8
Minnesota Vikings,2005,73502,8
Kansas City Chiefs,2005,65750,8
Miami Dolphins,2005,61643,8
Indianapolis Colts,2005,Bye,8
Arizona Cardinals,2005,62068,8
Atlanta Falcons,2005,Bye,8
Baltimore Ravens,2005,64178,8
Buffalo Bills,2005,68756,8
Carolina Panthers,2005,73502,8
Chicago Bears,2005,61814,8
Jacksonville Jaguars,2005,65251,8
Cincinnati Bengals,2005,65940,8
Dallas Cowboys,2005,62068,8
Denver Broncos,2005,76530,8
Detroit Lions,2005,61814,8
Green Bay Packers,2005,65940,8
Houston Texans,2005,70064,8
Cleveland Browns,2005,70064,8
New Orleans Saints,2005,32637,9
Tampa Bay Buccaneers,2005,65014,9
New England Patriots,2005,68756,9
New York Giants,2005,63820,9
San Diego Chargers,2005,77662,9
Pittsburgh Steelers,2005,70607,9
Philadelphia Eagles,2005,90298,9
Oakland Raiders,2005,79033,9
New York Jets,2005,77662,9
San Francisco 49ers,2005,63820,9
Seattle Seahawks,2005,43542,9
St. Louis Rams,2005,Bye,9
Tennessee Titans,2005,72594,9
Washington Redskins,2005,90298,9
Minnesota Vikings,2005,63813,9
Kansas City Chiefs,2005,79033,9
Miami Dolphins,2005,72187,9
Indianapolis Colts,2005,68756,9
Arizona Cardinals,2005,43542,9
Atlanta Falcons,2005,72187,9
Baltimore Ravens,2005,70540,9
Buffalo Bills,2005,Bye,9
Carolina Panthers,2005,65014,9
Chicago Bears,2005,32637,9
Jacksonville Jaguars,2005,64613,9
Cincinnati Bengals,2005,70540,9
Dallas Cowboys,2005,Bye,9
Denver Broncos,2005,Bye,9
Detroit Lions,2005,63813,9
Green Bay Packers,2005,70607,9
Houston Texans,2005,64613,9
Cleveland Browns,2005,72594,9
Oakland Raiders,2006,62578,1
Philadelphia Eagles,2006,70180,1
Pittsburgh Steelers,2006,64927,1
San Diego Chargers,2006,62578,1
San Francisco 49ers,2006,63407,1
Dallas Cowboys,2006,67164,1
St. Louis Rams,2006,65577,1
Tampa Bay Buccaneers,2006,65087,1
Tennessee Titans,2006,69143,1
Washington Redskins,2006,90608,1
New York Jets,2006,69143,1
Seattle Seahawks,2006,60535,1
New York Giants,2006,78622,1
Cincinnati Bengals,2006,77956,1
New England Patriots,2006,68756,1
Arizona Cardinals,2006,63407,1
Atlanta Falcons,2006,73522,1
Baltimore Ravens,2006,65087,1
Buffalo Bills,2006,68756,1
Carolina Panthers,2006,73522,1
Chicago Bears,2006,70918,1
Cleveland Browns,2006,72915,1
New Orleans Saints,2006,72915,1
Denver Broncos,2006,65577,1
Green Bay Packers,2006,70918,1
Houston Texans,2006,70180,1
Indianapolis Colts,2006,78622,1
Jacksonville Jaguars,2006,67164,1
Kansas City Chiefs,2006,77956,1
Miami Dolphins,2006,64927,1
Minnesota Vikings,2006,90608,1
Detroit Lions,2006,60535,1
Oakland Raiders,2006,62094,10
Philadelphia Eagles,2006,69143,10
Pittsburgh Steelers,2006,61911,10
San Diego Chargers,2006,65917,10
San Francisco 49ers,2006,60707,10
Dallas Cowboys,2006,63926,10
St. Louis Rams,2006,68175,10
Tampa Bay Buccaneers,2006,73573,10
Tennessee Titans,2006,69143,10
Washington Redskins,2006,69143,10
New York Jets,2006,68756,10
Seattle Seahawks,2006,68175,10
New York Giants,2006,78641,10
Cincinnati Bengals,2006,65917,10
New England Patriots,2006,68756,10
Arizona Cardinals,2006,63926,10
Atlanta Falcons,2006,70793,10
Baltimore Ravens,2006,69143,10
Buffalo Bills,2006,57306,10
Carolina Panthers,2006,73573,10
Chicago Bears,2006,78641,10
Cleveland Browns,2006,70793,10
New Orleans Saints,2006,61911,10
Denver Broncos,2006,62094,10
Green Bay Packers,2006,63924,10
Houston Texans,2006,65918,10
Indianapolis Colts,2006,57306,10
Jacksonville Jaguars,2006,65918,10
Kansas City Chiefs,2006,73132,10
Miami Dolphins,2006,73132,10
Minnesota Vikings,2006,63924,10
Detroit Lions,2006,60707,10
Oakland Raiders,2006,78097,11
Philadelphia Eagles,2006,69232,11
Pittsburgh Steelers,2006,73296,11
San Diego Chargers,2006,76723,11
San Francisco 49ers,2006,68367,11
