Home_team,Season,attendance,Week
Philadelphia Eagles,1992,65833,3
New York Jets,1992,71020,3
New York Giants,1992,63444,3
New Orleans Saints,1992,67328,3
New England Patriots,1992,42327,3
Minnesota Vikings,1992,48113,3
Miami Dolphins,1992,55945,3
Los Angeles Rams,1992,55945,3
Los Angeles Raiders,1992,48102,3
Kansas City Chiefs,1992,60955,3
Indianapolis Colts,1992,77781,3
Houston Oilers,1992,60955,3
Green Bay Packers,1992,57272,3
Detroit Lions,1992,55818,3
Denver Broncos,1992,65833,3
Dallas Cowboys,1992,62575,3
Chicago Bears,1992,63444,3
Cleveland Browns,1992,48102,3
Atlanta Falcons,1992,67328,3
Cincinnati Bengals,1992,57272,3
Buffalo Bills,1992,52527,4
Washington Redskins,1992,Bye,4
Tampa Bay Buccaneers,1992,51374,4
Seattle Seahawks,1992,59374,4
San Francisco 49ers,1992,68591,4
San Diego Chargers,1992,57491,4
Pittsburgh Steelers,1992,58724,4
Phoenix Cardinals,1992,Bye,4
Philadelphia Eagles,1992,Bye,4
New York Jets,1992,42005,4
New York Giants,1992,Bye,4
New Orleans Saints,1992,68591,4
New England Patriots,1992,52527,4
Minnesota Vikings,1992,53847,4
Miami Dolphins,1992,59374,4
Los Angeles Rams,1992,42005,4
Los Angeles Raiders,1992,77486,4
Kansas City Chiefs,1992,77486,4
Indianapolis Colts,1992,Bye,4
Houston Oilers,1992,57491,4
Green Bay Packers,1992,58724,4
Detroit Lions,1992,51374,4
Denver Broncos,1992,78064,4
Dallas Cowboys,1992,Bye,4
Chicago Bears,1992,63528,4
Cleveland Browns,1992,78064,4
Atlanta Falcons,1992,63528,4
Cincinnati Bengals,1992,53847,4
Buffalo Bills,1992,80368,5
Washington Redskins,1992,34488,5
Tampa Bay Buccaneers,1992,56585,5
Seattle Seahawks,1992,36783,5
San Francisco 49ers,1992,63071,5
San Diego Chargers,1992,36783,5
Pittsburgh Steelers,1992,Bye,5
Phoenix Cardinals,1992,34488,5
Philadelphia Eagles,1992,66572,5
New York Jets,1992,60180,5
New York Giants,1992,43103,5
New Orleans Saints,1992,66971,5
New England Patriots,1992,60180,5
Minnesota Vikings,1992,60992,5
Miami Dolphins,1992,80368,5
Los Angeles Rams,1992,63071,5
