Team,Stadium,Years used,Capacity,Opened,Surface,Location,URL,lat,lon,Year_start,Year_end
Cincinnati Bengals,Cinergy Field ,1970–1999,59754,1970,AstroTurf,Cincinnati url:https://en.wikipedia.org/wiki/Cincinnati,https://en.wikipedia.org/wiki/Cinergy_Field,39.09667,-84.50833,1970,1999
Cleveland Browns,FirstEnergy Stadium ,1999–present,67895,1999,Grass,"Cleveland, Ohio url:https://en.wikipedia.org/wiki/Cleveland",https://en.wikipedia.org/wiki/FirstEnergy_Stadium,41.50611,-81.69944,1999,present
Cleveland Browns,Cleveland Stadium ,1946–1995,74400,1932,Grass,"Cleveland, Ohio url:https://en.wikipedia.org/wiki/Cleveland",https://en.wikipedia.org/wiki/Cleveland_Stadium,41.50667,-81.69722,1946,1995
Pittsburgh Steelers (Pittsburgh Pirates),Heinz Field ,2001–present,68400,2001,Grass,Pittsburgh url:https://en.wikipedia.org/wiki/Pittsburgh,https://en.wikipedia.org/wiki/Heinz_Field,40.446670000000005,-80.01583000000001,2001,present
Pittsburgh Steelers (Pittsburgh Pirates),Three Rivers Stadium ,1970–2000,59000,1970,AstroTurf (1982–2000) Tartan Turf (1970–1981),Pittsburgh url:https://en.wikipedia.org/wiki/Pittsburgh,https://en.wikipedia.org/wiki/Three_Rivers_Stadium,40.446670000000005,-80.01278,1970,2000
Houston Texans,NRG Stadium ,2002–present,71500,2002,UBU Sports Speed Series S5-M (2016–present) Grass (2002–2015),"Houston, Texas url:https://en.wikipedia.org/wiki/Houston",https://en.wikipedia.org/wiki/NRG_Stadium,29.684720000000002,-95.41083,2002,present
Indianapolis Colts (Baltimore Colts),Lucas Oil Stadium ,2008–present,67000,2008,FieldTurf,Indianapolis url:https://en.wikipedia.org/wiki/Indianapolis,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,39.760056,-86.16380600000001,2008,present
Indianapolis Colts (Baltimore Colts),RCA Dome ,1984–2007,57980,1983,Field Turf (2005–2008) AstroTurf (1984–2004),Indianapolis url:https://en.wikipedia.org/wiki/Indianapolis,https://en.wikipedia.org/wiki/RCA_Dome,39.76361,-86.16333,1984,2007
Jacksonville Jaguars,TIAA Bank Field ,1995–present,67246,1995,Grass,"Jacksonville, Florida url:https://en.wikipedia.org/wiki/Jacksonville,_Florida",https://en.wikipedia.org/wiki/TIAA_Bank_Field,30.323890000000002,-81.6375,1995,present
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Nissan Stadium ,1999–present,67000,1999,Grass,"Nashville, Tennessee url:https://en.wikipedia.org/wiki/Nashville,_Tennessee",https://en.wikipedia.org/wiki/Nissan_Stadium,36.16639,-86.77139,1999,present
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Vanderbilt Stadium ,1998,41000,1922,AstroTurf,"Nashville, Tennessee url:https://en.wikipedia.org/wiki/Nashville,_Tennessee",https://en.wikipedia.org/wiki/Vanderbilt_Stadium,36.14417,-86.80889,1998,
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Liberty Bowl Memorial Stadium ,1997,62380,1965,Grass,"Memphis, Tennessee url:https://en.wikipedia.org/wiki/Memphis,_Tennessee",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,35.121109999999994,-89.9775,1997,
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Reliant Astrodome ,1968–1996,62439,1965,AstroTurf url:https://en.wikipedia.org/wiki/AstroTurf,"Houston, Texas",https://en.wikipedia.org/wiki/Reliant_Astrodome,29.685,-95.40778,1968,1996
Denver Broncos,Empower Field at Mile High ,2001–present,76125,2001,Grass,"Denver, Colorado url:https://en.wikipedia.org/wiki/Denver",https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,39.74389,-105.02,2001,present
Denver Broncos,Mile High Stadium ,1960–2000,76273,1948,Grass,"Denver, Colorado url:https://en.wikipedia.org/wiki/Denver",https://en.wikipedia.org/wiki/Mile_High_Stadium,39.746109999999994,-105.02167,1960,2000
