away team,Home_team,attendance,Date,Season
Dallas Cowboys,Green Bay Packers,79704.0,January 11,2014.0
Indianapolis Colts,Denver Broncos,76867.0,January 11,2014.0
Green Bay Packers,Seattle Seahawks,68538.0,January 18,2014.0
Indianapolis Colts,New England Patriots,68756.0,January 18,2014.0
New England Patriots,Seattle Seahawks,70288.0,February 1,2014.0
Kansas City Chiefs,Houston Texans,71800.0,January 9,2015.0
Pittsburgh Steelers,Cincinnati Bengals,63257.0,January 9,2015.0
Seattle Seahawks,Minnesota Vikings,52090.0,January 10,2015.0
Green Bay Packers,Washington Redskins,81367.0,January 10,2015.0
Kansas City Chiefs,New England Patriots,66829.0,January 16,2015.0
Green Bay Packers,Arizona Cardinals,65089.0,January 16,2015.0
Seattle Seahawks,Carolina Panthers,74287.0,January 17,2015.0
Pittsburgh Steelers,Denver Broncos,76956.0,January 17,2015.0
New England Patriots,Denver Broncos,77112.0,January 24,2015.0
Arizona Cardinals,Carolina Panthers,74294.0,January 24,2015.0
Carolina Panthers,Denver Broncos,71088.0,February 7,2015.0
Oakland Raiders,Houston Texans,71790.0,January 7,2016.0
Detroit Lions,Seattle Seahawks,68788.0,January 7,2016.0
Miami Dolphins,Pittsburgh Steelers,62726.0,January 8,2016.0
New York Giants,Green Bay Packers,77549.0,January 8,2016.0
Seattle Seahawks,Atlanta Falcons,71155.0,January 14,2016.0
Houston Texans,New England Patriots,66829.0,January 14,2016.0
Green Bay Packers,Dallas Cowboys,93396.0,January 15,2016.0
Pittsburgh Steelers,Kansas City Chiefs,75678.0,January 15,2016.0
Green Bay Packers,Atlanta Falcons,71127.0,January 22,2016.0
Pittsburgh Steelers,New England Patriots,66829.0,January 22,2016.0
New England Patriots,Atlanta Falcons,70807.0,February 5,2016.0
Tennessee Titans,Kansas City Chiefs,73319.0,January 6,2017.0
Atlanta Falcons,Los Angeles Rams,74300.0,January 6,2017.0
Buffalo Bills,Jacksonville Jaguars,69442.0,January 7,2017.0
Carolina Panthers,New Orleans Saints,73186.0,January 7,2017.0
Atlanta Falcons,Philadelphia Eagles,69596.0,January 13,2017.0
Tennessee Titans,New England Patriots,65878.0,January 13,2017.0
Jacksonville Jaguars,Pittsburgh Steelers,64524.0,January 14,2017.0
New Orleans Saints,Minnesota Vikings,66612.0,January 14,2017.0
Jacksonville Jaguars,New England Patriots,65878.0,January 21,2017.0
Minnesota Vikings,Philadelphia Eagles,69596.0,January 21,2017.0
Philadelphia Eagles,New England Patriots,67612.0,February 4,2017.0
Indianapolis Colts,Houston Texans,71798.0,January 5,2018.0
Seattle Seahawks,Dallas Cowboys,94327.0,January 5,2018.0
Los Angeles Chargers,Baltimore Ravens,70432.0,January 6,2018.0
Philadelphia Eagles,Chicago Bears,62462.0,January 6,2018.0
Indianapolis Colts,Kansas City Chiefs,76765.0,January 12,2018.0
Dallas Cowboys,Los Angeles Rams,77187.0,January 12,2018.0
Los Angeles Chargers,New England Patriots,65878.0,January 13,2018.0
Philadelphia Eagles,New Orleans Saints,73027.0,January 13,2018.0
Los Angeles Rams,New Orleans Saints,73028.0,January 20,2018.0
New England Patriots,Kansas City Chiefs,77034.0,January 20,2018.0
New England Patriots,Los Angeles Rams,70081.0,February 3,2018.0
Buffalo Bills,Houston Texans,71699.0,January 4,2019.0
Tennessee Titans,New England Patriots,65878.0,January 4,2019.0
Minnesota Vikings,New Orleans Saints,73038.0,January 5,2019.0
Seattle Seahawks,Philadelphia Eagles,69796.0,January 5,2019.0
Minnesota Vikings,San Francisco 49ers,71649.0,January 11,2019.0
Tennessee Titans,Baltimore Ravens,71254.0,January 11,2019.0
Houston Texans,Kansas City Chiefs,73503.0,January 12,2019.0
Seattle Seahawks,Green Bay Packers,78998.0,January 12,2019.0
Tennessee Titans,Kansas City Chiefs,73656.0,January 19,2019.0
Green Bay Packers,San Francisco 49ers,72211.0,January 19,2019.0
San Francisco 49ers,Kansas City Chiefs,62417.0,February 2,2019.0
